student_id,teacher_note
223,Consistently well prepared and contributes confidently in class.
224,"Strong effort this term, clearly enjoys the work."
225,"A pleasure to teach, shows real interest in the subject."
226,Poor attendance is hurting an already weak performance.
227,Poor attendance is hurting an already weak performance.
228,"Does what is asked, could participate more in discussion."
229,Frequently absent and falling behind on assignments.
230,Frequently absent and falling behind on assignments.
231,Attends regularly and completes the required work.
232,"Does what is asked, could participate more in discussion."
233,"Struggling badly with the basics, needs urgent support."
234,Attends regularly and completes the required work.
235,Seems disengaged and rarely completes homework.
236,Seems disengaged and rarely completes homework.
237,Quiet in class but keeps up with the material.
238,Distracted in class and repeatedly misses deadlines.
239,"Does what is asked, could participate more in discussion."
240,Seems disengaged and rarely completes homework.
241,"Does what is asked, could participate more in discussion."
242,Quiet in class but keeps up with the material.
243,"Struggling badly with the basics, needs urgent support."
244,"Does what is asked, could participate more in discussion."
245,Seems disengaged and rarely completes homework.
246,Consistently well prepared and contributes confidently in class.
247,"Strong effort this term, clearly enjoys the work."
248,Distracted in class and repeatedly misses deadlines.
249,Frequently absent and falling behind on assignments.
250,Consistently well prepared and contributes confidently in class.
251,Distracted in class and repeatedly misses deadlines.
252,Attends regularly and completes the required work.
253,Frequently absent and falling behind on assignments.
254,Quiet in class but keeps up with the material.
255,Quiet in class but keeps up with the material.
256,Poor attendance is hurting an already weak performance.
257,"Does what is asked, could participate more in discussion."
258,"Does what is asked, could participate more in discussion."
259,Quiet in class but keeps up with the material.
260,Poor attendance is hurting an already weak performance.
261,Attends regularly and completes the required work.
262,Quiet in class but keeps up with the material.
263,"Does what is asked, could participate more in discussion."
264,Frequently absent and falling behind on assignments.
265,"Does what is asked, could participate more in discussion."
266,"Performance is steady, no particular concerns raised."
267,"Does what is asked, could participate more in discussion."
268,"Performance is steady, no particular concerns raised."
269,Poor attendance is hurting an already weak performance.
270,Distracted in class and repeatedly misses deadlines.
271,Poor attendance is hurting an already weak performance.
272,Quiet in class but keeps up with the material.
273,Quiet in class but keeps up with the material.
274,"Performance is steady, no particular concerns raised."
275,Quiet in class but keeps up with the material.
276,Consistently well prepared and contributes confidently in class.
277,Distracted in class and repeatedly misses deadlines.
278,Distracted in class and repeatedly misses deadlines.
279,Frequently absent and falling behind on assignments.
280,"Performance is steady, no particular concerns raised."
281,Frequently absent and falling behind on assignments.
282,Frequently absent and falling behind on assignments.
283,Excellent attendance and a positive attitude throughout.
284,"Does what is asked, could participate more in discussion."
285,Distracted in class and repeatedly misses deadlines.
286,Average progress so far this term.
287,Hands work in on time and asks thoughtful questions.
288,Attends regularly and completes the required work.
289,Average progress so far this term.
290,Attends regularly and completes the required work.
291,Seems disengaged and rarely completes homework.
292,Consistently well prepared and contributes confidently in class.
293,Distracted in class and repeatedly misses deadlines.
294,Consistently well prepared and contributes confidently in class.
295,Quiet in class but keeps up with the material.
296,"Does what is asked, could participate more in discussion."
297,Frequently absent and falling behind on assignments.
298,Distracted in class and repeatedly misses deadlines.
299,Quiet in class but keeps up with the material.
300,Average progress so far this term.
301,Distracted in class and repeatedly misses deadlines.
302,Attends regularly and completes the required work.
303,Average progress so far this term.
304,Consistently well prepared and contributes confidently in class.
305,Poor attendance is hurting an already weak performance.
306,Distracted in class and repeatedly misses deadlines.
307,Excellent attendance and a positive attitude throughout.
308,Distracted in class and repeatedly misses deadlines.
309,"Struggling badly with the basics, needs urgent support."
310,"Struggling badly with the basics, needs urgent support."
311,Seems disengaged and rarely completes homework.
312,"Struggling badly with the basics, needs urgent support."
313,Seems disengaged and rarely completes homework.
314,"Struggling badly with the basics, needs urgent support."
315,Poor attendance is hurting an already weak performance.
316,Seems disengaged and rarely completes homework.
317,"Performance is steady, no particular concerns raised."
318,"Does what is asked, could participate more in discussion."
319,"Performance is steady, no particular concerns raised."
320,Attends regularly and completes the required work.
321,Attends regularly and completes the required work.
322,Poor attendance is hurting an already weak performance.
323,Average progress so far this term.
324,Excellent attendance and a positive attitude throughout.
325,Attends regularly and completes the required work.
326,Attends regularly and completes the required work.
327,Excellent attendance and a positive attitude throughout.
328,Quiet in class but keeps up with the material.
329,Distracted in class and repeatedly misses deadlines.
330,"A pleasure to teach, shows real interest in the subject."
331,Seems disengaged and rarely completes homework.
332,"A pleasure to teach, shows real interest in the subject."
333,Frequently absent and falling behind on assignments.
334,Quiet in class but keeps up with the material.
335,"Struggling badly with the basics, needs urgent support."
336,"Struggling badly with the basics, needs urgent support."
337,Seems disengaged and rarely completes homework.
338,"Does what is asked, could participate more in discussion."
339,Average progress so far this term.
340,"Performance is steady, no particular concerns raised."
341,Average progress so far this term.
342,Average progress so far this term.
343,Frequently absent and falling behind on assignments.
344,Distracted in class and repeatedly misses deadlines.
345,"Performance is steady, no particular concerns raised."
346,Consistently well prepared and contributes confidently in class.
347,Quiet in class but keeps up with the material.
348,"Performance is steady, no particular concerns raised."
349,Consistently well prepared and contributes confidently in class.
350,Frequently absent and falling behind on assignments.
351,Distracted in class and repeatedly misses deadlines.
352,Hands work in on time and asks thoughtful questions.
353,"Struggling badly with the basics, needs urgent support."
354,"Struggling badly with the basics, needs urgent support."
355,Average progress so far this term.
356,Seems disengaged and rarely completes homework.
357,"A pleasure to teach, shows real interest in the subject."
358,Hands work in on time and asks thoughtful questions.
359,"Performance is steady, no particular concerns raised."
360,Average progress so far this term.
361,"Strong effort this term, clearly enjoys the work."
362,"Struggling badly with the basics, needs urgent support."
363,Attends regularly and completes the required work.
364,Attends regularly and completes the required work.
365,"Does what is asked, could participate more in discussion."
366,"Performance is steady, no particular concerns raised."
367,Consistently well prepared and contributes confidently in class.
368,Frequently absent and falling behind on assignments.
369,"Performance is steady, no particular concerns raised."
370,Seems disengaged and rarely completes homework.
371,"Struggling badly with the basics, needs urgent support."
372,Quiet in class but keeps up with the material.
373,"Does what is asked, could participate more in discussion."
374,Distracted in class and repeatedly misses deadlines.
375,"Does what is asked, could participate more in discussion."
376,Average progress so far this term.
377,Frequently absent and falling behind on assignments.
378,Attends regularly and completes the required work.
379,Consistently well prepared and contributes confidently in class.
380,Quiet in class but keeps up with the material.
381,Average progress so far this term.
382,Frequently absent and falling behind on assignments.
383,"Performance is steady, no particular concerns raised."
384,Distracted in class and repeatedly misses deadlines.
385,Distracted in class and repeatedly misses deadlines.
386,Seems disengaged and rarely completes homework.
387,Poor attendance is hurting an already weak performance.
388,Seems disengaged and rarely completes homework.
389,Attends regularly and completes the required work.
390,"Struggling badly with the basics, needs urgent support."
391,"Struggling badly with the basics, needs urgent support."
392,Consistently well prepared and contributes confidently in class.
393,"Struggling badly with the basics, needs urgent support."
394,Quiet in class but keeps up with the material.
395,Quiet in class but keeps up with the material.
1000,Attends regularly and completes the required work.
1001,"Performance is steady, no particular concerns raised."
1002,Excellent attendance and a positive attitude throughout.
1003,"Strong effort this term, clearly enjoys the work."
1004,Excellent attendance and a positive attitude throughout.
1005,Hands work in on time and asks thoughtful questions.
1006,Quiet in class but keeps up with the material.
1007,Quiet in class but keeps up with the material.
1008,Hands work in on time and asks thoughtful questions.
1009,"Strong effort this term, clearly enjoys the work."
1010,Consistently well prepared and contributes confidently in class.
1011,Quiet in class but keeps up with the material.
1012,"A pleasure to teach, shows real interest in the subject."
1013,"Strong effort this term, clearly enjoys the work."
1014,Hands work in on time and asks thoughtful questions.
1015,"A pleasure to teach, shows real interest in the subject."
1016,Quiet in class but keeps up with the material.
1017,Consistently well prepared and contributes confidently in class.
1018,Poor attendance is hurting an already weak performance.
1019,Consistently well prepared and contributes confidently in class.
1020,"Strong effort this term, clearly enjoys the work."
1021,Quiet in class but keeps up with the material.
1022,Hands work in on time and asks thoughtful questions.
1023,"Does what is asked, could participate more in discussion."
1024,"Performance is steady, no particular concerns raised."
1025,"Performance is steady, no particular concerns raised."
1026,Quiet in class but keeps up with the material.
1027,Quiet in class but keeps up with the material.
1028,Consistently well prepared and contributes confidently in class.
1029,Quiet in class but keeps up with the material.
1030,"Does what is asked, could participate more in discussion."
1031,"A pleasure to teach, shows real interest in the subject."
1032,"A pleasure to teach, shows real interest in the subject."
1033,Attends regularly and completes the required work.
1034,"A pleasure to teach, shows real interest in the subject."
1035,"Performance is steady, no particular concerns raised."
1036,Excellent attendance and a positive attitude throughout.
1037,"Strong effort this term, clearly enjoys the work."
1038,Average progress so far this term.
1039,"Performance is steady, no particular concerns raised."
1040,Attends regularly and completes the required work.
1041,Attends regularly and completes the required work.
1042,"A pleasure to teach, shows real interest in the subject."
1043,Quiet in class but keeps up with the material.
1044,Distracted in class and repeatedly misses deadlines.
1045,"Performance is steady, no particular concerns raised."
1046,Attends regularly and completes the required work.
1047,Consistently well prepared and contributes confidently in class.
1048,Average progress so far this term.
1049,"Does what is asked, could participate more in discussion."
1050,"Performance is steady, no particular concerns raised."
1051,"Performance is steady, no particular concerns raised."
1052,Poor attendance is hurting an already weak performance.
1053,Average progress so far this term.
1054,Average progress so far this term.
1055,Consistently well prepared and contributes confidently in class.
1056,"Does what is asked, could participate more in discussion."
1057,Excellent attendance and a positive attitude throughout.
1058,Quiet in class but keeps up with the material.
1059,"Performance is steady, no particular concerns raised."
1060,Attends regularly and completes the required work.
1061,"Does what is asked, could participate more in discussion."
1062,Consistently well prepared and contributes confidently in class.
1063,Average progress so far this term.
1064,Average progress so far this term.
1065,Quiet in class but keeps up with the material.
1066,"Performance is steady, no particular concerns raised."
1067,Poor attendance is hurting an already weak performance.
1068,Attends regularly and completes the required work.
1069,"A pleasure to teach, shows real interest in the subject."
1070,Average progress so far this term.
1071,"Performance is steady, no particular concerns raised."
1072,Attends regularly and completes the required work.
1073,"A pleasure to teach, shows real interest in the subject."
1074,Average progress so far this term.
1075,"Performance is steady, no particular concerns raised."
1076,"Does what is asked, could participate more in discussion."
1077,"A pleasure to teach, shows real interest in the subject."
1078,Poor attendance is hurting an already weak performance.
1079,"Struggling badly with the basics, needs urgent support."
1080,Average progress so far this term.
1081,Seems disengaged and rarely completes homework.
1082,Quiet in class but keeps up with the material.
1083,"Does what is asked, could participate more in discussion."
1084,"Does what is asked, could participate more in discussion."
1085,Quiet in class but keeps up with the material.
1086,Average progress so far this term.
1087,Excellent attendance and a positive attitude throughout.
1088,"Performance is steady, no particular concerns raised."
1089,"Does what is asked, could participate more in discussion."
1090,Average progress so far this term.
1091,Attends regularly and completes the required work.
1092,"A pleasure to teach, shows real interest in the subject."
1093,"A pleasure to teach, shows real interest in the subject."
1094,Quiet in class but keeps up with the material.
1095,"Strong effort this term, clearly enjoys the work."
1096,Average progress so far this term.
1097,Average progress so far this term.
1098,"A pleasure to teach, shows real interest in the subject."
1099,"Strong effort this term, clearly enjoys the work."
1100,Poor attendance is hurting an already weak performance.
1101,"Strong effort this term, clearly enjoys the work."
1102,Hands work in on time and asks thoughtful questions.
1103,Distracted in class and repeatedly misses deadlines.
1104,"Strong effort this term, clearly enjoys the work."
1105,Quiet in class but keeps up with the material.
1106,Attends regularly and completes the required work.
1107,"A pleasure to teach, shows real interest in the subject."
1108,Average progress so far this term.
1109,Excellent attendance and a positive attitude throughout.
1110,"A pleasure to teach, shows real interest in the subject."
1111,Attends regularly and completes the required work.
1112,Seems disengaged and rarely completes homework.
1113,"Struggling badly with the basics, needs urgent support."
1114,Seems disengaged and rarely completes homework.
1115,Quiet in class but keeps up with the material.
1116,Quiet in class but keeps up with the material.
1117,Consistently well prepared and contributes confidently in class.
1118,Frequently absent and falling behind on assignments.
1119,Quiet in class but keeps up with the material.
1120,"Strong effort this term, clearly enjoys the work."
1121,Average progress so far this term.
1122,Attends regularly and completes the required work.
1123,"Strong effort this term, clearly enjoys the work."
1124,"Does what is asked, could participate more in discussion."
1125,Average progress so far this term.
1126,Quiet in class but keeps up with the material.
1127,Poor attendance is hurting an already weak performance.
1128,"Strong effort this term, clearly enjoys the work."
1129,"Does what is asked, could participate more in discussion."
1130,Quiet in class but keeps up with the material.
1131,Seems disengaged and rarely completes homework.
1132,Attends regularly and completes the required work.
1133,Attends regularly and completes the required work.
1134,"Does what is asked, could participate more in discussion."
1135,Seems disengaged and rarely completes homework.
1136,Quiet in class but keeps up with the material.
1137,Distracted in class and repeatedly misses deadlines.
1138,"Does what is asked, could participate more in discussion."
1139,Consistently well prepared and contributes confidently in class.
1140,Distracted in class and repeatedly misses deadlines.
1141,Quiet in class but keeps up with the material.
1142,Attends regularly and completes the required work.
1143,Poor attendance is hurting an already weak performance.
1144,Quiet in class but keeps up with the material.
1145,"Does what is asked, could participate more in discussion."
1146,Average progress so far this term.
1147,Excellent attendance and a positive attitude throughout.
1148,Distracted in class and repeatedly misses deadlines.
1149,"Performance is steady, no particular concerns raised."
1150,Poor attendance is hurting an already weak performance.
1151,Average progress so far this term.
1152,Average progress so far this term.
1153,"Strong effort this term, clearly enjoys the work."
1154,Average progress so far this term.
1155,Poor attendance is hurting an already weak performance.
1156,Hands work in on time and asks thoughtful questions.
1157,"Does what is asked, could participate more in discussion."
1158,"Does what is asked, could participate more in discussion."
1159,"Performance is steady, no particular concerns raised."
1160,Quiet in class but keeps up with the material.
1161,"Struggling badly with the basics, needs urgent support."
1162,Average progress so far this term.
1163,Poor attendance is hurting an already weak performance.
1164,Seems disengaged and rarely completes homework.
1165,"A pleasure to teach, shows real interest in the subject."
1166,"Does what is asked, could participate more in discussion."
1167,Consistently well prepared and contributes confidently in class.
1168,"Performance is steady, no particular concerns raised."
1169,Seems disengaged and rarely completes homework.
1170,"Struggling badly with the basics, needs urgent support."
1171,"Performance is steady, no particular concerns raised."
1172,"Performance is steady, no particular concerns raised."
1173,Distracted in class and repeatedly misses deadlines.
1174,Frequently absent and falling behind on assignments.
1175,Seems disengaged and rarely completes homework.
1176,Quiet in class but keeps up with the material.
1177,Seems disengaged and rarely completes homework.
1178,"Does what is asked, could participate more in discussion."
1179,Seems disengaged and rarely completes homework.
1180,Quiet in class but keeps up with the material.
1181,Consistently well prepared and contributes confidently in class.
1182,"Strong effort this term, clearly enjoys the work."
1183,"Strong effort this term, clearly enjoys the work."
1184,"Struggling badly with the basics, needs urgent support."
1185,Excellent attendance and a positive attitude throughout.
1186,"Does what is asked, could participate more in discussion."
1187,"Does what is asked, could participate more in discussion."
1188,Consistently well prepared and contributes confidently in class.
1189,Quiet in class but keeps up with the material.
1190,"Does what is asked, could participate more in discussion."
1191,"Does what is asked, could participate more in discussion."
1192,Distracted in class and repeatedly misses deadlines.
1193,Attends regularly and completes the required work.
1194,Average progress so far this term.
1195,"Does what is asked, could participate more in discussion."
1196,"Strong effort this term, clearly enjoys the work."
1197,Frequently absent and falling behind on assignments.
1198,"A pleasure to teach, shows real interest in the subject."
1199,"A pleasure to teach, shows real interest in the subject."
1200,Poor attendance is hurting an already weak performance.
1201,"Strong effort this term, clearly enjoys the work."
1202,Average progress so far this term.
1203,Average progress so far this term.
1204,Excellent attendance and a positive attitude throughout.
1205,Quiet in class but keeps up with the material.
1206,"Does what is asked, could participate more in discussion."
1207,Quiet in class but keeps up with the material.
1208,"Performance is steady, no particular concerns raised."
1209,"Strong effort this term, clearly enjoys the work."
1210,"Strong effort this term, clearly enjoys the work."
1211,Attends regularly and completes the required work.
1212,Poor attendance is hurting an already weak performance.
1213,"Performance is steady, no particular concerns raised."
1214,"Strong effort this term, clearly enjoys the work."
1215,Quiet in class but keeps up with the material.
1216,"Strong effort this term, clearly enjoys the work."
1217,Quiet in class but keeps up with the material.
1218,Excellent attendance and a positive attitude throughout.
1219,Distracted in class and repeatedly misses deadlines.
1220,Attends regularly and completes the required work.
1221,"Strong effort this term, clearly enjoys the work."
1222,Excellent attendance and a positive attitude throughout.
1223,Average progress so far this term.
1224,Consistently well prepared and contributes confidently in class.
1225,Frequently absent and falling behind on assignments.
1226,"Strong effort this term, clearly enjoys the work."
1227,Seems disengaged and rarely completes homework.
1228,"Does what is asked, could participate more in discussion."
1229,Hands work in on time and asks thoughtful questions.
1230,Frequently absent and falling behind on assignments.
1231,"Performance is steady, no particular concerns raised."
1232,"Strong effort this term, clearly enjoys the work."
1233,"A pleasure to teach, shows real interest in the subject."
1234,Quiet in class but keeps up with the material.
1235,"Does what is asked, could participate more in discussion."
1236,"A pleasure to teach, shows real interest in the subject."
1237,"Struggling badly with the basics, needs urgent support."
1238,"Strong effort this term, clearly enjoys the work."
1239,"Performance is steady, no particular concerns raised."
1240,"Strong effort this term, clearly enjoys the work."
1241,"Performance is steady, no particular concerns raised."
1242,Attends regularly and completes the required work.
1243,"Strong effort this term, clearly enjoys the work."
1244,Attends regularly and completes the required work.
1245,Excellent attendance and a positive attitude throughout.
1246,Consistently well prepared and contributes confidently in class.
1247,"A pleasure to teach, shows real interest in the subject."
1248,Quiet in class but keeps up with the material.
1249,Consistently well prepared and contributes confidently in class.
1250,Consistently well prepared and contributes confidently in class.
1251,Attends regularly and completes the required work.
1252,Quiet in class but keeps up with the material.
1253,Seems disengaged and rarely completes homework.
1254,Frequently absent and falling behind on assignments.
1255,Distracted in class and repeatedly misses deadlines.
1256,Seems disengaged and rarely completes homework.
1257,Seems disengaged and rarely completes homework.
1258,Hands work in on time and asks thoughtful questions.
1259,Poor attendance is hurting an already weak performance.
1260,Attends regularly and completes the required work.
1261,Excellent attendance and a positive attitude throughout.
1262,Seems disengaged and rarely completes homework.
1263,Poor attendance is hurting an already weak performance.
1264,"Struggling badly with the basics, needs urgent support."
1265,"Performance is steady, no particular concerns raised."
1266,Quiet in class but keeps up with the material.
1267,Excellent attendance and a positive attitude throughout.
1268,Excellent attendance and a positive attitude throughout.
1269,Consistently well prepared and contributes confidently in class.
1270,Hands work in on time and asks thoughtful questions.
1271,"Performance is steady, no particular concerns raised."
1272,Consistently well prepared and contributes confidently in class.
1273,Average progress so far this term.
1274,Frequently absent and falling behind on assignments.
1275,"Struggling badly with the basics, needs urgent support."
1276,Excellent attendance and a positive attitude throughout.
1277,"Does what is asked, could participate more in discussion."
1278,"Does what is asked, could participate more in discussion."
1279,Seems disengaged and rarely completes homework.
1280,Frequently absent and falling behind on assignments.
1281,Average progress so far this term.
1282,Quiet in class but keeps up with the material.
1283,Attends regularly and completes the required work.
1284,"Struggling badly with the basics, needs urgent support."
1285,Average progress so far this term.
1286,Consistently well prepared and contributes confidently in class.
1287,Distracted in class and repeatedly misses deadlines.
1288,Consistently well prepared and contributes confidently in class.
1289,"A pleasure to teach, shows real interest in the subject."
1290,Average progress so far this term.
1291,Poor attendance is hurting an already weak performance.
1292,"Performance is steady, no particular concerns raised."
1293,Attends regularly and completes the required work.
1294,Average progress so far this term.
1295,"A pleasure to teach, shows real interest in the subject."
1296,Consistently well prepared and contributes confidently in class.
1297,"Does what is asked, could participate more in discussion."
1298,"Does what is asked, could participate more in discussion."
1299,Attends regularly and completes the required work.
1300,"Strong effort this term, clearly enjoys the work."
1301,"Performance is steady, no particular concerns raised."
1302,"Does what is asked, could participate more in discussion."
1303,Quiet in class but keeps up with the material.
1304,"Does what is asked, could participate more in discussion."
1305,Quiet in class but keeps up with the material.
1306,Excellent attendance and a positive attitude throughout.
1307,"Performance is steady, no particular concerns raised."
1308,Average progress so far this term.
1309,Average progress so far this term.
1310,Poor attendance is hurting an already weak performance.
1311,"Does what is asked, could participate more in discussion."
1312,"Does what is asked, could participate more in discussion."
1313,Excellent attendance and a positive attitude throughout.
